# Omega_Matter_0 = 0.302   | Omega_Lambda_0 = 0.698   | Omega_K_0 = 0.0   | h = 1.0   |
# RA  DEC  CZ_obs  Mr  HaloID  logMHalo  NGal_H  FLAG  CZ_real  DIST_C  Vp_tot  Vp_tang  Morph  logMstar  r_mag  u_mag  FSMGR  Gal_Match_flag  u_r  mhi_mass  GroupID  Group_NGals  Group_Rproj  Group_CZdisp  Group_logMHalo  Group_Gal_Type
  222.668528     12.803129     6271.25411     -22.023         198732     15.141         469       0    9275.033928    6.67340698e-01    3054.84356     556.21579        ET      9.520000    -22.086538    -19.755318      0.035454         ECO      2.331221    5.128622e+09               8           1      0.000000      0.000000     12.640           1
  222.171544     13.282570     6512.91217     -21.360         198732     15.141         469       0    9282.161903    1.30034484e+00    3099.52930    1392.24202        ET      9.380000    -21.395140    -18.912640      0.086007         ECO      2.482500    2.951209e+09               2          18      0.240688    277.110000     13.621           0
  222.447973     12.891202     6734.03597     -21.078         198732     15.141         469       0    9307.953154    2.25260036e-01    3078.22351    1688.31581        ET     10.110000    -21.121059    -19.138954      0.449595         ECO      1.982105    1.949844e+09               4           5      0.154728    235.290000     13.138           0
  222.517742     12.969547     5741.21269     -20.666         198732     15.141         469       0    9306.569267    2.12817715e-01    3999.93373    1813.20224        ET      9.440000    -20.644579    -19.305462      0.372099         ECO      1.339117    8.511383e+09               9           1      0.000000      0.000000     11.989           1
  222.497427     12.960594     6375.60662     -19.372         198732     15.141         469       0    9308.735157    1.96893507e-01    3326.89505    1570.02791        LT      9.200000    -19.358648    -18.448215      2.298466         ECO      0.910433    1.122019e+10               4           5      0.154728    235.290000     13.138           0
  222.028978     13.368608     6837.95843     -19.939         198732     15.141         469       0    9333.352113    1.60805965e+00    2827.38363    1329.32635        LT      9.190000    -19.973993    -17.679867      0.170574         ECO      2.294127    5.128622e+08               2          18      0.240688    277.110000     13.621           0
  134.892897     49.486340     3718.01756     -21.070         281391     12.844           2       1    4230.578954    0.00000000e+00     600.83676     313.50538        LT     11.412022    -21.119474    -18.496624      0.193459         ECO      2.622850    2.454709e+09              10           2      0.040115     20.810000     12.477           1
  134.982246     49.540542     3747.81744     -20.880         281391     12.844           2       0    4247.164103    2.50367271e-01     553.60209     239.01504        ET     10.170000    -20.907253    -18.899780      0.091036         ECO      2.007473    5.370317e+09              10           2      0.040115     20.810000     12.477           0
  134.634782     -0.513661     2560.74945     -19.378         281739     11.606           1       1    2389.978581    0.00000000e+00     693.72644     672.37912        LT     10.212457    -19.390127    -17.730476      0.462300         ECO      1.659651    2.570394e+09              11           1      0.000000      0.000000     11.512           1
  139.272479     49.614586     3598.81740     -20.879         282697     12.227           2       1    4151.094159    0.00000000e+00     644.08881     331.42235        LT     10.885844    -20.919973    -18.296719      0.173121         ECO      2.623255    1.621813e+09              12           2      0.130372     40.150000     12.149           1
